URL,Тип страницы,Title,H1,Description,Ключевые формулировки,Частотность
https://odintsovclinic.ru/endometrioz,Услуга / навигационная,Эндометриоз — консультация гинеколога в СПб,Эндометриоз: диагностика и лечение в СПб,"Приём гинеколога при эндометриозе в Санкт-Петербурге. Разбор симптомов и результатов обследования, обсуждение тактики лечения. Врачи и цены клиники Одинцова.","эндометриоз лечение СПб, гинеколог Санкт-Петербург, эндометриоз симптомы, тазовая боль, лапароскопия эндометриоз, Приморский район СПб",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/eroziya-sheyki-matki,Услуга / навигационная,Эрозия шейки матки — гинеколог в СПб | Клиника Одинцова,Эрозия шейки матки: диагностика и лечение в СПб,"Консультация гинеколога при изменениях шейки матки в Санкт-Петербурге. Осмотр, кольпоскопия, наблюдение или лечение по показаниям. Цены и запись.","эрозия шейки матки лечение СПб, гинеколог Санкт-Петербург, кольпоскопия, ПАП-тест, прижигание эрозии, радиоволновое лечение, Приморский район СПб",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/fibroadenoma,Услуга / навигационная,Фиброаденома молочной железы: лечение и удаление в СПб,Фиброаденома молочной железы: диагностика и лечение в СПб,"Консультация маммолога при фиброаденоме в Санкт-Петербурге. Разбор УЗИ, наблюдение или удаление по показаниям, ВАБ и второе мнение. Клиника Одинцова.","фиброаденома молочной железы, лечение фиброаденомы СПб, ВАБ фиброаденома, маммолог Санкт-Петербург, удаление фиброаденомы, Приморский район",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/gipotireoz,Услуга / навигационная,Гипотиреоз — приём эндокринолога в СПб,Гипотиреоз: диагностика и лечение в Санкт-Петербурге,"Эндокринолог при гипотиреозе в Санкт-Петербурге: разбор жалоб и анализов, подбор лечения и контроль по показаниям. Цены и запись в клинику Одинцова.","гипотиреоз лечение СПб, эндокринолог Санкт-Петербург, ТТГ анализ, щитовидная железа лечение, гипотиреоз симптомы, Приморский район СПб",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/gynecology,Услуга / навигационная,Гинеколог в СПб — приём и цены | Клиника Одинцова,Гинекология в Санкт-Петербурге: спокойный приём и понятный план наблюдения,"Приём гинеколога в Приморском районе СПб: осмотр, УЗИ малого таза, кольпоскопия по показаниям. Врачи, цены и запись. Богатырский проспект, 22 к. 1.","гинекология Санкт-Петербург, гинеколог Приморский район, УЗИ малого таза, бережный приём, Клиника Одинцова",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/kista-molochnoy-zhelezy,Услуга / навигационная,Киста молочной железы — лечение в СПб | Клиника Одинцова,Киста молочной железы: диагностика и лечение в СПб,"Маммолог при кисте молочной железы в Санкт-Петербурге: УЗИ, наблюдение и лечение по показаниям. Стоимость консультации и запись в клинику Одинцова.","киста молочной железы, лечение кисты СПб, маммолог Санкт-Петербург, аспирация кисты, УЗИ молочных желёз, Приморский район",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/licenses,Услуга / навигационная,Лицензии и сертификаты - Клиника Одинцова,Лицензии и сертификаты клиники,"Лицензия на медицинскую деятельность, сертификаты и аккредитации врачей Клиники Одинцова в Санкт-Петербурге, Приморский район.","лицензия клиника Одинцова, медицинская лицензия СПб, сертификаты врачей",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/mammology,Услуга / навигационная,"Маммолог в СПб — приём, УЗИ, цены | Клиника Одинцова","Маммология в Санкт-Петербурге: консультация, УЗИ и ВАБ по показаниям","Приём онколога-маммолога в Приморском районе Санкт-Петербурга: осмотр, УЗИ, биопсия и второе мнение. Врачи, цены и запись в клинику Одинцова.","маммолог Санкт-Петербург, маммология СПб, ВАБ Санкт-Петербург, фиброаденома, киста молочной железы, Приморский район, Богатырский проспект",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/mastopatiya,Услуга / навигационная,Мастопатия — приём маммолога в СПб | Клиника Одинцова,Мастопатия молочной железы: наблюдение и лечение в СПб,"Боль и изменения в молочных железах: консультация маммолога в Санкт-Петербурге, разбор обследований и план наблюдения. Врачи и цены клиники Одинцова.","мастопатия лечение СПб, фиброзно-кистозная болезнь, маммолог Санкт-Петербург, мастопатия симптомы, лечение мастопатии, Приморский район СПб",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/media,Услуга / навигационная,СМИ и телевидение - Клиника Одинцова,Врачи клиники в СМИ,Выступления врачей клиники на телевидении и в СМИ. Экспертные комментарии по маммологии и женскому здоровью.,"одинцов маммолог тв, клиника одинцова сми, врач маммолог телевидение спб",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/nashi-rezultaty,Услуга / навигационная,"Наши результаты - Клиника Одинцова, СПб",Наши результаты,"Статистика работы клиники: количество процедур ВАБ, опыт врачей, география пациентов и рейтинги на ПроДокторов.","клиника одинцова результаты, статистика ВАБ, рейтинг клиники спб маммология, отзывы клиника одинцова санкт-петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/nutrition,Услуга / навигационная,Нутрициолог в СПб — консультация | Клиника Одинцова,Нутрициология в Санкт-Петербурге: персональный план питания без жёстких диет,"Консультация нутрициолога в Санкт-Петербурге: разбор рациона, пищевых привычек и персональный план питания. Цены и запись. Приморский район, Богатырский проспект.","нутрициология Санкт-Петербург, нутрициолог Приморский район, персональный план питания, коррекция рациона, Клиника Одинцова",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/prices,Услуга / навигационная,Цены на услуги клиники Одинцова в Санкт-Петербурге,Короткий и полный прайс-лист клиники,"Стоимость приёма маммолога, гинеколога, эндокринолога и нутрициолога, УЗИ и ВАБ. Состав услуг и полный прайс-лист клиники Одинцова в Санкт-Петербурге.","цены клиника Одинцова, прайс СПб, стоимость ВАБ СПб, маммолог цены СПб, гинеколог цены СПб, эндокринолог цены СПб, нутрициолог цены СПб",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/prices/full,Услуга / навигационная,Полный прайс-лист - Клиника Одинцова,Полный прайс-лист клиники,"Полный официальный прайс-лист Клиники Одинцова: маммология, гинекология, эндокринология, хирургия, УЗИ и лабораторная диагностика.","полный прайс-лист Клиника Одинцова, официальный прайс-лист клиники, цены маммология СПб, цены гинекология СПб",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/privacy-policy,Услуга / навигационная,Политика конфиденциальности - Клиника Одинцова,Политика конфиденциальности,Политика конфиденциальности и порядок обработки персональных данных в Клинике Одинцова в Санкт-Петербурге. Защита данных пациентов.,"политика конфиденциальности, персональные данные, клиника Одинцова, Санкт-Петербург, защита данных СПб",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/second-opinion,Услуга / навигационная,Второе мнение маммолога в СПб | Клиника Одинцова,Сомневаетесь в необходимости операции? Перепроверьте заключение у онколога-маммолога,Получите второе мнение по диагнозу и предложенному лечению молочной железы. Какие документы подготовить и как обратиться в клинику Одинцова в Санкт-Петербурге.,"второе мнение маммолог, проверить диагноз, онколог-маммолог, Санкт-Петербург, Приморский район, бесплатная консультация",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/tax-form,Услуга / навигационная,Форма для налоговой справки | Клиника Одинцова,Запрос справки для налогового вычета,"Заполните онлайн-форму для получения справки в налоговую инспекцию. Укажите данные пациента, налогоплательщика и контакты для связи.","справка для налоговой, налоговый вычет, медицинские услуги, Клиника Одинцова, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/tireoidit-khashimoto,Услуга / навигационная,Тиреоидит Хашимото — эндокринолог в СПб,Тиреоидит Хашимото: диагностика и лечение в СПб,"Консультация эндокринолога при аутоиммунном тиреоидите Хашимото в Санкт-Петербурге. Анализы, УЗИ по показаниям и план наблюдения. Клиника Одинцова.","тиреоидит Хашимото лечение СПб, аутоиммунный тиреоидит, эндокринолог Санкт-Петербург, антитела к ТПО, щитовидная железа, гипотиреоз лечение, Приморский район СПб",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/vab,Услуга / навигационная,ВАБ молочной железы в СПб — цены | Клиника Одинцова,ВАБ - вакуумная аспирационная биопсия в Санкт-Петербурге,"Вакуумная аспирационная биопсия молочной железы в Санкт-Петербурге. Показания, подготовка, врачи и состав стоимости ВАБ. Запись на консультацию в клинику Одинцова.","ВАБ Санкт-Петербург, вакуумная аспирационная биопсия СПб, удаление фиброаденомы, удаление кисты молочной железы, Приморский район, Богатырский проспект",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
